Data Source	World Development Indicators																																																													
																																																														
Last Updated Date	30.01.2019																																																													
																																																														
Country Name	Country Code	Indicator Name	Indicator Code	1960	1961	1962	1963	1964	1965	1966	1967	1968	1969	1970	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018
Bahrain	BHR	Inflation, GDP deflator (annual %)	NY.GDP.DEFL.KD.ZG																						18.91176506	13.72399415	-3.689967158	-0.418480068	-1.824994526	-17.39265031	0.659048471	2.009427703	3.974660365	4.826695567	-1.882524863	-3.532652291	-3.025814742	7.331189486	1.090668488	0.196721929	0.931715111	-7.057410565	2.656433743	29.9914839	-3.363876178	3.56464237	8.444943699	10.99107672	13.7349923	8.842531381	8.435437003	11.36485349	-12.99375493	7.441014838	9.736421819	3.010651418	0.384706205	-1.670607235	-9.368381023	0.080457317	5.704381798	
Bahamas	 The	BHS	Inflation, GDP deflator (annual %)	NY.GDP.DEFL.KD.ZG		1.160601259	1.089632544	1.343764187	1.50530105	2.011727721	3.771318548	4.713072544	5.163480795	8.925372793	6.145345673	4.582551579	6.786658895	5.55102348	13.23270697	10.65637827	2.38966527	1.728703028	2.247883785	8.554096535	10.00686562	17.68832771	3.69500754	5.976967024	3.171435469	8.460727143	4.660387029	6.586347651	1.484310644	1.813171336	5.073711046	2.556539629	3.905565083	-0.851983447	2.183366927	0.802435284	0.98424358	71.91494026	3.049232629	4.950928295	0.921909234	0.353469259	3.960873783	1.154678348	1.194529963	5.056748709	0.827941837	2.947514507	1.488942038	-1.036553462	-0.3926783	-0.858336036	3.267480599	-0.458015267	3.25510543	6.507529872	2.119688154	1.275330817
Bosnia and Herzegovina	BIH	Inflation, GDP deflator (annual %)	NY.GDP.DEFL.KD.ZG																																				8.84743048	-17.05676277	13.01148173	-1.581925087	8.355650913	28.79013574	2.961962963	4.461582788	0.912384705	8.440278095	-2.75755251	7.796786662	6.199116599	7.352765154	0.183703961	1.399781116	2.433092599	0.79566516	-0.223673757	1.004561075	1.366366407	1.410656856	1.553193478	
Belarus	BLR	Inflation, GDP deflator (annual %)	NY.GDP.DEFL.KD.ZG																																110.3767052	1030.77681	1058.714498	1945.748608	661.5040772	53.71432724	71.64957472	76.58044606	316.7934352	185.2907605	79.53457252	44.8937391	30.68532136	22.67512265	18.97216044	10.74861579	12.87270229	21.21353599	9.258661915	14.09614493	66.83290804	75.27736917	21.25729561	18.10515612	16.02249378	8.34191705	8.17536514	
Belize	BLZ	Inflation, GDP deflator (annual %)	NY.GDP.DEFL.KD.ZG		1.763026844	1.356964588	0.937659292	2.13617101	5.61061427	5.773933778	3.122443711	1.679358121	0.215932233	7.369642397	5.063903656	-1.235235149	14.67627088	21.71062296	16.87729136	1.157484454	2.242495449	7.349181985	3.585434213	14.94878367	-2.044402418	-6.979994383	7.740755182	9.439079915	-1.805036508	4.202361223	9.581537065	3.726335541	2.045386014	0.172866167	-3.180174033	3.990655178	1.651540512	3.587877748	6.078378003	1.96924391	-1.476301726	1.503044214	-2.234451145	0.475944593	-0.222606683	1.751555854	-2.860681045	2.06849136	2.680434814	4.478960696	4.845270171	2.733261323	-3.091030999	1.183538267	4.180858261	2.19299346	1.984053281	1.50638337	0.653507907	3.111042919	1.637106336	
Bermuda	BMU	Inflation, GDP deflator (annual %)	NY.GDP.DEFL.KD.ZG		0.939036516	0.976544538	1.270801433	0.461053037	1.461122997	2.608611012	3.480335622	8.98161461	6.281063123	6.269519406	9.546211565	9.525770761	12.81220965	14.98394773	6.357027204	2.783649201	9.269101095	4.918710256	6.415363402	9.854087069	17.7093913	12.20859197	10.99738108	10.29655249	7.61408817	5.835136713	6.48815418	4.893013972	5.636713147	6.03357231	6.430590524	2.813883984	5.196304339	1.959564202	4.178463534	29.36469989	4.02390394	2.7415512	2.71214952	-4.236355416	-1.369196175	8.580442045	2.824739991	4.692143362	6.762373651	5.377171057	5.866405765	2.085337649	0.333664945	1.048907542	-0.032572528	4.829612392	3.245896562					
Bolivia	BOL	Inflation, GDP deflator (annual %)	NY.GDP.DEFL.KD.ZG		6.548173318	3.561471057	0.824214662	8.385943052	5.891025175	3.315876428	6.232458617	4.588484241	3.719008264	3.960561147	2.538632267	18.9777488	42.94450909	61.54596046	6.695277658	8.598920875	12.54061843	14.1038108	19.79717364	24.75761946	29.37315142	158.8047604	265.6166468	1443.463603	12338.62232	230.0183927	13.97289991	18.18473175	13.18642794	16.26793991	17.68943693	13.19920758	6.557159358	7.952203941	11.42728592	11.58020594	5.705042541	7.051130173	2.411561422	5.19540791	1.870092796	2.820758433	6.329991141	7.967709974	5.940795568	13.66367938	7.373355353	10.38118272	-2.419895917	8.777508322	14.60235401	7.100276603	5.995388017	2.049497254	-4.620602784	-1.354869243	6.061399101	
Brazil	BRA	Inflation, GDP deflator (annual %)	NY.GDP.DEFL.KD.ZG		31.30252876	78.83075816	69.76638753	93.83467916	51.38486797	39.40589052	29.24483624	26.67067893	20.91402268	17.0922848	20.25389293	19.14440795	22.66485302	34.80018569	33.86227732	47.62698515	46.17956528	41.05980031	56.4805742	87.30687533	107.2140338	104.8323636	140.1956279	212.7857817	231.7234991	145.2715422	204.103425	651.1138557	1209.121328	2700.44214	414.2362617	968.1842555	2001.347726	2302.840778	89.49744028	18.4577835	7.728833105	4.924091502	8.009287115	5.885482128	8.232635464	9.797521307	14.09208429	7.74753022	7.437125123	6.7790941	6.448587993	8.782008072	7.313442599	8.409654436	8.307285349	7.930491528	7.498842407	7.842144591	7.570640312	8.144388499	3.791215029	
Barbados	BRB	Inflation, GDP deflator (annual %)	NY.GDP.DEFL.KD.ZG																29.36072849	3.020982565	9.750335746	6.71750617	12.37833345	22.96928074	12.22524004	9.903633253	5.639209616	5.249727999	3.546621392	4.464133539	7.364505362	2.811337111	6.739536631	22.79338777	3.238746898	3.911294218	4.203755769	1.302641556	3.059399668	2.559317524	0.914306306	8.689516793	4.447405054	-1.342850566	2.276107317	0.890324145	1.135019678	5.824462606	6.656921496	1.415125438	9.930500128	2.223029508	-2.440423231	0.847272524	2.220009934	-0.377712316	-0.950682806	-0.108039812	-1.416485573	-3.145990774	2.16773325	
Brunei Darussalam	BRN	Inflation, GDP deflator (annual %)	NY.GDP.DEFL.KD.ZG																5.518963851	5.62712678	8.381099413	-2.171429325	12.67188974	86.11396727	9.021595024	-4.838443333	-11.42003532	-1.274171563	-2.464941047	-31.90474758	10.72996071	-7.669073022	8.698049959	8.409963766	-2.837280823	1.726875356	-2.951489527	-8.763626527	2.872997532	4.488755815	8.584853385	-11.64857357	11.59397648	29.01570917	-5.59189805	0.374209529	6.104611064	15.88616466	18.76631914	10.04772148	1.120447694	12.69272996	-22.09141648	16.68828285	20.18050542	1.221653054	-2.824153694	-2.005880555	-17.46827523	-9.181007882	4.955242779	
